region,importations,n,rep
MHD,15,180,6
UWHC,26,180,6
MHD,19,180,1
UWHC,24,180,1
MHD,18,180,8
UWHC,22,180,8
MHD,21,240,3
UWHC,27,240,3
MHD,15,100,4
UWHC,13,100,4
MHD,14,100,3
UWHC,13,100,3
MHD,21,240,4
UWHC,27,240,4
MHD,20,200,2
UWHC,24,200,2
MHD,18,140,5
UWHC,23,140,5
MHD,15,140,2
UWHC,21,140,2
MHD,18,200,5
UWHC,24,200,5
MHD,15,180,9
UWHC,25,180,9
MHD,15,180,0
UWHC,20,180,0
MHD,18,180,7
UWHC,26,180,7
MHD,19,200,4
UWHC,26,200,4
MHD,14,140,3
UWHC,18,140,3
MHD,17,140,4
UWHC,27,140,4
MHD,18,200,3
UWHC,29,200,3
MHD,20,240,5
UWHC,28,240,5
MHD,14,100,2
UWHC,16,100,2
MHD,10,100,5
UWHC,17,100,5
MHD,20,240,2
UWHC,28,240,2
MHD,18,80,2
UWHC,16,80,2
MHD,19,80,5
UWHC,12,80,5
MHD,8,40,8
UWHC,13,40,8
MHD,10,40,1
UWHC,9,40,1
MHD,10,40,6
UWHC,13,40,6
MHD,17,80,4
UWHC,21,80,4
MHD,11,80,3
UWHC,17,80,3
MHD,12,40,7
UWHC,12,40,7
MHD,10,40,0
UWHC,9,40,0
MHD,6,40,9
UWHC,11,40,9
MHD,13,120,8
UWHC,20,120,8
MHD,17,160,7
UWHC,21,160,7
MHD,20,220,0
UWHC,27,220,0
MHD,20,220,7
UWHC,25,220,7
MHD,16,160,0
UWHC,29,160,0
MHD,15,160,9
UWHC,25,160,9
MHD,15,120,6
UWHC,25,120,6
MHD,19,220,9
UWHC,27,220,9
MHD,17,120,1
UWHC,18,120,1
MHD,20,220,8
UWHC,26,220,8
MHD,15,120,0
UWHC,21,120,0
MHD,18,160,8
UWHC,22,160,8
MHD,14,120,7
UWHC,19,120,7
MHD,18,160,1
UWHC,19,160,1
MHD,20,220,6
UWHC,28,220,6
MHD,14,120,9
UWHC,16,120,9
MHD,19,220,1
UWHC,26,220,1
MHD,18,160,6
UWHC,18,160,6
MHD,12,60,3
UWHC,16,60,3
MHD,9,60,4
UWHC,18,60,4
MHD,4,20,2
UWHC,7,20,2
MHD,4,20,5
UWHC,8,20,5
MHD,7,20,4
UWHC,8,20,4
MHD,5,20,3
UWHC,9,20,3
MHD,10,60,5
UWHC,15,60,5
MHD,11,60,2
UWHC,15,60,2
MHD,21,240,7
UWHC,28,240,7
MHD,13,100,0
UWHC,17,100,0
MHD,20,200,8
UWHC,25,200,8
MHD,11,100,7
UWHC,18,100,7
MHD,20,240,0
UWHC,28,240,0
MHD,15,140,8
UWHC,23,140,8
MHD,19,200,6
UWHC,21,200,6
MHD,17,140,1
UWHC,19,140,1
MHD,21,240,9
UWHC,28,240,9
MHD,17,140,6
UWHC,20,140,6
MHD,16,200,1
UWHC,27,200,1
MHD,20,100,9
UWHC,16,100,9
MHD,17,180,2
UWHC,27,180,2
MHD,14,180,5
UWHC,23,180,5
MHD,19,200,0
UWHC,24,200,0
MHD,17,140,7
UWHC,25,140,7
MHD,20,100,8
UWHC,18,100,8
MHD,16,140,0
UWHC,18,140,0
MHD,19,200,7
UWHC,23,200,7
MHD,21,240,8
UWHC,27,240,8
MHD,20,240,1
UWHC,28,240,1
MHD,6,100,6
UWHC,20,100,6
MHD,14,140,9
UWHC,26,140,9
MHD,18,100,1
UWHC,21,100,1
MHD,21,240,6
UWHC,28,240,6
MHD,18,200,9
UWHC,26,200,9
MHD,16,180,4
UWHC,23,180,4
MHD,15,180,3
UWHC,19,180,3
MHD,9,40,5
UWHC,17,40,5
MHD,9,40,2
UWHC,12,40,2
MHD,14,80,6
UWHC,18,80,6
MHD,16,80,1
UWHC,15,80,1
MHD,13,80,8
UWHC,18,80,8
MHD,10,40,3
UWHC,11,40,3
MHD,7,40,4
UWHC,12,40,4
MHD,14,80,9
UWHC,17,80,9
MHD,16,80,0
UWHC,17,80,0
MHD,15,80,7
UWHC,15,80,7
MHD,16,160,3
UWHC,20,160,3
MHD,19,220,4
UWHC,26,220,4
MHD,19,220,3
UWHC,26,220,3
MHD,17,160,4
UWHC,24,160,4
MHD,15,120,2
UWHC,22,120,2
MHD,22,120,5
UWHC,18,120,5
MHD,13,120,4
UWHC,20,120,4
MHD,16,120,3
UWHC,20,120,3
MHD,15,160,5
UWHC,24,160,5
MHD,20,220,2
UWHC,26,220,2
MHD,20,220,5
UWHC,28,220,5
MHD,20,160,2
UWHC,21,160,2
MHD,7,20,8
UWHC,8,20,8
MHD,13,60,7
UWHC,17,60,7
MHD,10,60,0
UWHC,13,60,0
MHD,11,60,9
UWHC,13,60,9
MHD,3,20,6
UWHC,10,20,6
MHD,6,20,1
UWHC,7,20,1
MHD,8,20,0
UWHC,4,20,0
MHD,14,60,8
UWHC,13,60,8
MHD,4,20,7
UWHC,9,20,7
MHD,12,60,1
UWHC,16,60,1
MHD,5,20,9
UWHC,12,20,9
MHD,6,60,6
UWHC,18,60,6
