Sample Name,wisconsin_catchment_area
USA/WI1/2020,UWHC
USA/WI-UW-02/2020,UWHC
USA/WI-UW-03/2020,UWHC
USA/WI-UW-04/2020,UWHC
USA/WI-UW-05/2020,UWHC
USA/WI-UW-06/2020,UWHC
USA/WI-UW-07/2020,UWHC
USA/WI-UW-08/2020,UWHC
USA/WI-UW-09/2020,UWHC
USA/WI-UW-10/2020,UWHC
USA/WI-UW-25/2020,UWHC
USA/WI-UW-26/2020,UWHC
USA/WI-UW-27/2020,UWHC
USA/WI-UW-28/2020,UWHC
USA/WI-UW-29/2020,UWHC
USA/WI-UW-31/2020,UWHC
USA/WI-UW-32/2020,UWHC
USA/WI-UW-33/2020,UWHC
USA/WI-UW-34/2020,UWHC
USA/WI-UW-35/2020,UWHC
USA/WI-UW-37/2020,UWHC
USA/WI-UW-38/2020,UWHC
USA/WI-UW-39/2020,UWHC
USA/WI-UW-40/2020,UWHC
USA/WI-UW-41/2020,UWHC
USA/WI-UW-42/2020,UWHC
USA/WI-UW-43/2020,UWHC
USA/WI-UW-44/2020,UWHC
USA/WI-UW-45/2020,UWHC
USA/WI-UW-46/2020,UWHC
USA/WI-UW-48/2020,UWHC
USA/WI-UW-49/2020,UWHC
USA/WI-UW-50/2020,UWHC
USA/WI-UW-51/2020,UWHC
USA/WI-UW-52/2020,UWHC
USA/WI-UW-53/2020,UWHC
USA/WI-UW-54/2020,UWHC
USA/WI-UW-55/2020,UWHC
USA/WI-UW-56/2020,UWHC
USA/WI-UW-58/2020,UWHC
USA/WI-UW-59/2020,UWHC
USA/WI-UW-60/2020,UWHC
USA/WI-UW-61/2020,UWHC
USA/WI-UW-62/2020,UWHC
USA/WI-UW-63/2020,UWHC
USA/WI-UW-64/2020,UWHC
USA/WI-UW-65/2020,UWHC
USA/WI-UW-66/2020,UWHC
USA/WI-UW-67/2020,UWHC
USA/WI-UW-68/2020,UWHC
USA/WI-UW-69/2020,UWHC
USA/WI-UW-70/2020,UWHC
USA/WI-UW-71/2020,UWHC
USA/WI-UW-72/2020,UWHC
USA/WI-UW-73/2020,UWHC
USA/WI-UW-74/2020,UWHC
USA/WI-UW-75/2020,UWHC
USA/WI-UW-76/2020,UWHC
USA/WI-UW-77/2020,UWHC
USA/WI-UW-78/2020,UWHC
USA/WI-UW-79/2020,UWHC
USA/WI-UW-80/2020,UWHC
USA/WI-UW-81/2020,UWHC
USA/WI-UW-82/2020,UWHC
USA/WI-UW-84/2020,UWHC
USA/WI-UW-85/2020,UWHC
USA/WI-UW-86/2020,UWHC
USA/WI-UW-87/2020,UWHC
USA/WI-UW-88/2020,UWHC
USA/WI-UW-89/2020,UWHC
USA/WI-UW-90/2020,UWHC
USA/WI-UW-91/2020,UWHC
USA/WI-UW-92/2020,UWHC
USA/WI-UW-93/2020,UWHC
USA/WI-UW-94/2020,UWHC
USA/WI-UW-95/2020,UWHC
USA/WI-UW-96/2020,UWHC
USA/WI-UW-97/2020,UWHC
USA/WI-UW-98/2020,UWHC
USA/WI-UW-99/2020,UWHC
USA/WI-UW-100/2020,UWHC
USA/WI-UW-101/2020,UWHC
USA/WI-UW-102/2020,UWHC
USA/WI-UW-103/2020,UWHC
USA/WI-UW-105/2020,UWHC
USA/WI-UW-106/2020,UWHC
USA/WI-UW-107/2020,UWHC
USA/WI-UW-108/2020,UWHC
USA/WI-UW-109/2020,UWHC
USA/WI-UW-110/2020,UWHC
USA/WI-UW-111/2020,UWHC
USA/WI-UW-112/2020,UWHC
