,name,date,lower,upper
0,NODE_0000001,2019-12-22,2019.9255088385426,2019.979395272129
1,Wuhan/Hu-1/2019,2019-12-26,2019.9849315068493,2019.9849315068493
2,NODE_0000000,2019-12-23,2019.960315575816,2019.9794520547946
3,Thailand/Nonthaburi_59/2020,2020-01-13,2020.0341530054645,2020.0341530054645
4,Wuhan/HB-WH1-122/2020,2020-03-02,2020.1680327868853,2020.1680327868853
5,Japan/NA-20-05-1/2020,2020-01-25,2020.0669398907103,2020.0669398907103
6,Wuhan/WIV04/2019,2019-12-30,2019.995890410959,2019.995890410959
7,Wuhan/HB-WH3-179/2020,2020-03-13,2020.198087431694,2020.198087431694
8,Japan/OS-20-07-1/2020,2020-01-23,2020.061475409836,2020.061475409836
9,Wuhan/HB-WH4-204/2020,2020-03-17,2020.2090163934427,2020.2090163934427
10,Jiangsu/JS03/2020,2020-01-24,2020.0642076502731,2020.0642076502731
11,Sichuan/SC-WCH4-286/2020,2020-02-10,2020.110655737705,2020.110655737705
12,Sichuan/SC-WCH3-259/2020,2020-02-03,2020.0915300546449,2020.0915300546449
13,Wuhan/HB-WH3-176/2020,2020-02-28,2020.1598360655737,2020.1598360655737
14,Wuhan/HB-WH2-167/2020,2020-02-11,2020.113387978142,2020.113387978142
15,SouthAfrica/R02827/2020,2020-03-06,2020.1789617486338,2020.1789617486338
16,Beijing/DT-travelIT04/2020,2020-03-04,2020.1734972677596,2020.1734972677596
17,Wuhan/IVDC-HB-01/2019,2019-12-30,2019.995890410959,2019.995890410959
18,Beijing/IME-HZ01/2020,2020-01-22,2020.058743169399,2020.058743169399
19,Hangzhou/HZCDC0091L/2020,2020-01-21,2020.0560109289618,2020.0560109289618
20,Wuhan/WHU02/2020,2020-01-02,2020.0040983606557,2020.0040983606557
21,Wuhan/IPBCAMS-WH-04/2019,2019-12-30,2019.995890410959,2019.995890410959
22,Taiwan/CGMH-CGU-01/2020,2020-01-25,2020.0669398907103,2020.0669398907103
23,Iceland/447/2020,2020-03-20,2020.217213114754,2020.217213114754
24,SouthKorea/KCDC12/2020,2020-02-01,2020.0860655737704,2020.0860655737704
25,Thailand/61/2020,2020-01-08,2020.0204918032787,2020.0204918032787
26,Korea/KCDC2004/2020,2020-02-02,2020.0887978142077,2020.0887978142077
27,Thailand/Phuket_247/2020,2020-01-25,2020.0669398907103,2020.0669398907103
28,Chongqing/ZX01/2020,2020-01-23,2020.061475409836,2020.061475409836
29,Malaysia/IMR_WC1170/2020,2020-03-05,2020.1762295081967,2020.1762295081967
30,India/CCMB_J300/2020,2020-04-03,2020.2554644808743,2020.2554644808743
31,Malaysia/IMR_WC1097/2020,2020-02-29,2020.1625683060108,2020.1625683060108
32,Wuhan/HB-WH4-206/2020,2020-03-27,2020.2363387978141,2020.2363387978141
33,Wuhan/HB-WH4-205/2020,2020-03-01,2020.1653005464482,2020.1653005464482
34,Taiwan/TSGH-31/2020,2020-03-25,2020.23087431694,2020.23087431694
35,Beijing/DT-travelUSA01/2020,2020-02-29,2020.1625683060108,2020.1625683060108
36,Wuhan/HB-WH1-142/2020,2020-03-01,2020.1653005464482,2020.1653005464482
37,Wuhan/WH03/2020,2020-01-01,2020.0013661202186,2020.0013661202186
38,Wuhan/HB-WH4-214/2020,2020-03-20,2020.217213114754,2020.217213114754
39,Thailand/74/2020,2020-01-13,2020.0341530054645,2020.0341530054645
40,Thailand/Nonthaburi_68/2020,2020-01-15,2020.0396174863388,2020.0396174863388
41,Wuhan/HBCDC-HB-03/2019,2019-12-30,2019.995890410959,2019.995890410959
42,Shanghai/SH0073/2020,2020-02-05,2020.0969945355191,2020.0969945355191
43,Korea/KCDC2005/2020,2020-02-04,2020.094262295082,2020.094262295082
44,Beijing/DT-travelDE01/2020,2020-03-13,2020.198087431694,2020.198087431694
45,Korea/KCDC2007/2020,2020-02-05,2020.0969945355191,2020.0969945355191
46,Sweden/20-50125/2020,2020-03-06,2020.1789617486338,2020.1789617486338
47,Thailand/SI200433-NT/2020,2020-01-25,2020.0669398907103,2020.0669398907103
48,Wuhan/HB-WH2-160/2020,2020-02-28,2020.1598360655737,2020.1598360655737
49,Wuhan/WIV06/2019,2019-12-30,2019.995890410959,2019.995890410959
50,Taiwan/4/2020,2020-01-28,2020.0751366120219,2020.0751366120219
51,USA/CA-CZB-1209/2020,2020-03-27,2020.2363387978141,2020.2363387978141
52,Taiwan/TSGH-35/2020,2020-02-06,2020.0997267759562,2020.0997267759562
53,USA/WI-UW-256/2020,2020-04-06,2020.2636612021859,2020.2636612021859
54,USA/WI-UW-270/2020,2020-03-12,2020.1953551912568,2020.1953551912568
55,USA/WI-UW-345/2020,2020-04-09,2020.2718579234972,2020.2718579234972
56,Wuhan/WH01/2019,2019-12-26,2019.9849315068493,2019.9849315068493
57,USA/IL1/2020,2020-01-21,2020.0560109289618,2020.0560109289618
58,USA/CO-CDC-5607/2020,2020-03-07,2020.181693989071,2020.181693989071
59,USA/CA6/2020,2020-01-27,2020.0724043715848,2020.0724043715848
60,Sichuan/SC-NJ-089/2020,2020-02-05,2020.0969945355191,2020.0969945355191
61,Singapore/1/2020,2020-01-23,2020.061475409836,2020.061475409836
62,Singapore/129/2020,2020-03-20,2020.217213114754,2020.217213114754
